Data,Partita,Casa,Ospite,Risultato_Reale,Predizione,Corretto,Prob_Casa,Prob_X,Prob_Ospite,Prob_Predizione,Confidenza,N_Partite_Dataset
2025-08-23,Sassuolo vs Napoli,Sassuolo,Napoli,A,D,False,0.3,0.38,0.319,0.38,0.38,2453
2025-08-23,Genoa vs Lecce,Genoa,Lecce,D,H,False,0.426,0.354,0.22,0.426,0.426,2453
2025-08-23,Roma vs Bologna,Roma,Bologna,H,H,True,0.546,0.31,0.144,0.546,0.546,2453
2025-08-23,Milan vs Cremonese,Milan,Cremonese,A,H,False,0.485,0.37,0.144,0.485,0.485,2453
2025-08-24,Cagliari vs Fiorentina,Cagliari,Fiorentina,D,H,False,0.428,0.31,0.262,0.428,0.428,2457
2025-08-24,Como vs Lazio,Como,Lazio,H,H,True,0.376,0.305,0.319,0.376,0.376,2457
2025-08-24,Juventus vs Parma,Juventus,Parma,H,H,True,0.563,0.297,0.14,0.563,0.563,2457
2025-08-25,Udinese vs Verona,Udinese,Verona,D,H,False,0.396,0.377,0.227,0.396,0.396,2460
2025-08-25,Inter vs Torino,Inter,Torino,H,H,True,0.552,0.307,0.141,0.552,0.552,2460
2025-08-29,Cremonese vs Sassuolo,Cremonese,Sassuolo,H,H,True,0.488,0.318,0.195,0.488,0.488,2462
2025-08-29,Lecce vs Milan,Lecce,Milan,A,A,True,0.235,0.322,0.443,0.443,0.443,2462
2025-08-30,Napoli vs Cagliari,Napoli,Cagliari,H,H,True,0.548,0.311,0.141,0.548,0.548,2464
2025-08-30,Bologna vs Como,Bologna,Como,H,H,True,0.432,0.333,0.235,0.432,0.432,2464
2025-08-30,Parma vs Atalanta,Parma,Atalanta,D,A,False,0.245,0.344,0.411,0.411,0.411,2464
2025-08-31,Genoa vs Juventus,Genoa,Juventus,A,D,False,0.365,0.367,0.268,0.367,0.367,2467
2025-08-31,Torino vs Fiorentina,Torino,Fiorentina,D,H,False,0.41,0.37,0.22,0.41,0.41,2467
2025-08-31,Inter vs Udinese,Inter,Udinese,A,H,False,0.588,0.27,0.142,0.588,0.588,2467
2025-08-31,Lazio vs Verona,Lazio,Verona,H,D,False,0.4,0.416,0.184,0.416,0.416,2467
2025-09-13,Cagliari vs Parma,Cagliari,Parma,H,H,True,0.448,0.39,0.162,0.448,0.448,2471
2025-09-13,Juventus vs Inter,Juventus,Inter,H,H,True,0.526,0.291,0.183,0.526,0.526,2471
2025-09-13,Fiorentina vs Napoli,Fiorentina,Napoli,A,H,False,0.409,0.354,0.236,0.409,0.409,2471
2025-09-14,Milan vs Bologna,Milan,Bologna,H,H,True,0.508,0.339,0.153,0.508,0.508,2474
2025-09-14,Sassuolo vs Lazio,Sassuolo,Lazio,H,A,False,0.288,0.337,0.375,0.375,0.375,2474
2025-09-14,Roma vs Torino,Roma,Torino,A,H,False,0.555,0.304,0.142,0.555,0.555,2474
2025-09-14,Atalanta vs Lecce,Atalanta,Lecce,H,H,True,0.438,0.386,0.176,0.438,0.438,2474
2025-09-15,Verona vs Cremonese,Verona,Cremonese,D,D,True,0.338,0.433,0.229,0.433,0.433,2478
2025-09-15,Como vs Genoa,Como,Genoa,D,H,False,0.492,0.36,0.148,0.492,0.492,2478
2025-09-19,Lecce vs Cagliari,Lecce,Cagliari,A,D,False,0.368,0.41,0.222,0.41,0.41,2480
2025-09-20,Bologna vs Genoa,Bologna,Genoa,H,H,True,0.497,0.36,0.143,0.497,0.497,2481
2025-09-20,Verona vs Juventus,Verona,Juventus,D,D,True,0.281,0.384,0.335,0.384,0.384,2481
2025-09-20,Udinese vs Milan,Udinese,Milan,A,A,True,0.295,0.305,0.399,0.399,0.399,2481
