Data,Partita,Casa,Ospite,Risultato_Reale,Predizione,Corretto,Prob_Casa,Prob_X,Prob_Ospite,Prob_Predizione,Confidenza,N_Partite_Dataset
2025-08-23,Sassuolo vs Napoli,Sassuolo,Napoli,A,D,False,0.333,0.37,0.297,0.37,0.37,2453
2025-08-23,Genoa vs Lecce,Genoa,Lecce,D,H,False,0.438,0.348,0.214,0.438,0.438,2453
2025-08-23,Roma vs Bologna,Roma,Bologna,H,H,True,0.563,0.295,0.141,0.563,0.563,2453
2025-08-23,Milan vs Cremonese,Milan,Cremonese,A,H,False,0.485,0.367,0.148,0.485,0.485,2453
2025-08-24,Cagliari vs Fiorentina,Cagliari,Fiorentina,D,H,False,0.455,0.306,0.239,0.455,0.455,2457
2025-08-24,Como vs Lazio,Como,Lazio,H,H,True,0.369,0.31,0.321,0.369,0.369,2457
2025-08-24,Juventus vs Parma,Juventus,Parma,H,H,True,0.571,0.288,0.141,0.571,0.571,2457
2025-08-25,Udinese vs Verona,Udinese,Verona,D,H,False,0.419,0.368,0.213,0.419,0.419,2460
2025-08-25,Inter vs Torino,Inter,Torino,H,H,True,0.569,0.293,0.138,0.569,0.569,2460
2025-08-29,Cremonese vs Sassuolo,Cremonese,Sassuolo,H,H,True,0.48,0.33,0.19,0.48,0.48,2462
2025-08-29,Lecce vs Milan,Lecce,Milan,A,A,True,0.293,0.31,0.397,0.397,0.397,2462
2025-08-30,Napoli vs Cagliari,Napoli,Cagliari,H,H,True,0.56,0.3,0.14,0.56,0.56,2464
2025-08-30,Bologna vs Como,Bologna,Como,H,H,True,0.445,0.336,0.218,0.445,0.445,2464
2025-08-30,Parma vs Atalanta,Parma,Atalanta,D,A,False,0.284,0.333,0.384,0.384,0.384,2464
2025-08-31,Genoa vs Juventus,Genoa,Juventus,A,H,False,0.394,0.358,0.248,0.394,0.394,2467
2025-08-31,Torino vs Fiorentina,Torino,Fiorentina,D,H,False,0.44,0.361,0.199,0.44,0.44,2467
2025-08-31,Inter vs Udinese,Inter,Udinese,A,H,False,0.604,0.256,0.14,0.604,0.604,2467
2025-08-31,Lazio vs Verona,Lazio,Verona,H,H,True,0.424,0.406,0.17,0.424,0.424,2467
2025-09-13,Cagliari vs Parma,Cagliari,Parma,H,H,True,0.452,0.371,0.178,0.452,0.452,2471
2025-09-13,Juventus vs Inter,Juventus,Inter,H,H,True,0.556,0.282,0.161,0.556,0.556,2471
2025-09-13,Fiorentina vs Napoli,Fiorentina,Napoli,A,H,False,0.439,0.345,0.215,0.439,0.439,2471
2025-09-14,Milan vs Bologna,Milan,Bologna,H,H,True,0.529,0.324,0.147,0.529,0.529,2474
2025-09-14,Sassuolo vs Lazio,Sassuolo,Lazio,H,A,False,0.322,0.327,0.351,0.351,0.351,2474
2025-09-14,Roma vs Torino,Roma,Torino,A,H,False,0.572,0.289,0.139,0.572,0.572,2474
2025-09-14,Atalanta vs Lecce,Atalanta,Lecce,H,H,True,0.446,0.372,0.182,0.446,0.446,2474
2025-09-15,Verona vs Cremonese,Verona,Cremonese,D,D,True,0.344,0.415,0.241,0.415,0.415,2478
2025-09-15,Como vs Genoa,Como,Genoa,D,H,False,0.483,0.368,0.15,0.483,0.483,2478
2025-09-19,Lecce vs Cagliari,Lecce,Cagliari,A,H,False,0.425,0.385,0.191,0.425,0.425,2480
2025-09-20,Bologna vs Genoa,Bologna,Genoa,H,H,True,0.513,0.345,0.142,0.513,0.513,2481
2025-09-20,Verona vs Juventus,Verona,Juventus,D,D,True,0.317,0.373,0.31,0.373,0.373,2481
2025-09-20,Udinese vs Milan,Udinese,Milan,A,A,True,0.325,0.296,0.378,0.378,0.378,2481
2025-09-21,Lazio vs Roma,Lazio,Roma,A,H,False,0.375,0.359,0.266,0.375,0.375,2484
2025-09-21,Cremonese vs Parma,Cremonese,Parma,D,H,False,0.478,0.347,0.175,0.478,0.478,2484
2025-09-21,Fiorentina vs Como,Fiorentina,Como,A,H,False,0.458,0.321,0.221,0.458,0.458,2484
2025-09-21,Inter vs Sassuolo,Inter,Sassuolo,H,H,True,0.615,0.246,0.14,0.615,0.615,2484
2025-09-21,Torino vs Atalanta,Torino,Atalanta,A,D,False,0.329,0.337,0.334,0.337,0.337,2484
2025-09-27,Como vs Cremonese,Como,Cremonese,D,H,False,0.444,0.38,0.176,0.444,0.444,2489
2025-09-27,Juventus vs Atalanta,Juventus,Atalanta,D,H,False,0.508,0.264,0.228,0.508,0.508,2489
2025-09-27,Cagliari vs Inter,Cagliari,Inter,A,H,False,0.377,0.328,0.294,0.377,0.377,2489
2025-09-28,Lecce vs Bologna,Lecce,Bologna,D,H,False,0.387,0.371,0.242,0.387,0.387,2492
2025-09-28,Sassuolo vs Udinese,Sassuolo,Udinese,H,H,True,0.428,0.351,0.221,0.428,0.428,2492
2025-09-28,Roma vs Verona,Roma,Verona,H,H,True,0.566,0.289,0.144,0.566,0.566,2492
2025-09-28,Milan vs Napoli,Milan,Napoli,H,H,True,0.435,0.339,0.226,0.435,0.435,2492
2025-09-29,Genoa vs Lazio,Genoa,Lazio,A,H,False,0.369,0.318,0.313,0.369,0.369,2496
2025-09-29,Parma vs Torino,Parma,Torino,H,D,False,0.386,0.405,0.209,0.405,0.405,2496
2025-10-03,Verona vs Sassuolo,Verona,Sassuolo,A,H,False,0.415,0.406,0.179,0.415,0.415,2498
2025-10-04,Lazio vs Torino,Lazio,Torino,D,H,False,0.471,0.378,0.15,0.471,0.471,2499
2025-10-04,Parma vs Lecce,Parma,Lecce,A,H,False,0.409,0.389,0.202,0.409,0.409,2499
2025-10-04,Inter vs Cremonese,Inter,Cremonese,H,H,True,0.549,0.306,0.146,0.549,0.549,2499
2025-10-04,Atalanta vs Como,Atalanta,Como,D,H,False,0.387,0.33,0.284,0.387,0.387,2499
2025-10-05,Fiorentina vs Roma,Fiorentina,Roma,A,H,False,0.424,0.297,0.28,0.424,0.424,2503
2025-10-05,Udinese vs Cagliari,Udinese,Cagliari,D,H,False,0.443,0.374,0.182,0.443,0.443,2503
2025-10-05,Juventus vs Milan,Juventus,Milan,D,H,False,0.529,0.255,0.216,0.529,0.529,2503
2025-10-05,Napoli vs Genoa,Napoli,Genoa,H,H,True,0.538,0.322,0.139,0.538,0.538,2503
