Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,casa_forma_punti,casa_forma_media_punti,casa_forma_gol_fatti,casa_forma_gol_subiti,casa_forma_media_gol_fatti,casa_forma_media_gol_subiti,casa_home_punti,casa_home_media_punti,casa_home_gol_fatti,casa_home_gol_subiti,casa_home_media_gol_fatti,casa_home_media_gol_subiti,trasferta_forma_punti,trasferta_forma_media_punti,trasferta_forma_gol_fatti,trasferta_forma_gol_subiti,trasferta_forma_media_gol_fatti,trasferta_forma_media_gol_subiti,trasferta_away_punti,trasferta_away_media_punti,trasferta_away_gol_fatti,trasferta_away_gol_subiti,trasferta_away_media_gol_fatti,trasferta_away_media_gol_subiti,h2h_vittorie_casa,h2h_vittorie_trasferta,h2h_pareggi,h2h_partite,differenza_forma_punti,differenza_attacco,differenza_difesa,casa_home_vs_trasferta_away_punti
2020-12-11,Sassuolo,Benevento,1,0,H,8,1.6,4,3,0.8,0.6,6,1.2,8,8,1.6,1.6,5,1.0,3,7,0.6,1.4,7,1.4,7,10,1.4,2.0,0,0,0,0,0.6000000000000001,-0.5999999999999999,0.0,-0.19999999999999996
2020-12-12,Crotone,Spezia,4,1,H,1,0.2,1,9,0.2,1.8,1,0.2,2,11,0.4,2.2,5,1.0,7,8,1.4,1.6,8,1.6,9,7,1.8,1.4,0,0,0,0,-0.8,-1.4000000000000001,-0.40000000000000013,-1.4000000000000001
2020-12-12,Lazio,Verona,1,2,A,10,2.0,10,8,2.0,1.6,5,1.0,6,10,1.2,2.0,8,1.6,8,6,1.6,1.2,5,1.25,5,4,1.25,1.0,0,0,0,0,0.3999999999999999,0.8,0.0,-0.25
2020-12-13,Cagliari,Inter,1,3,A,5,1.0,7,8,1.4,1.6,7,1.75,8,6,2.0,1.5,11,2.2,13,6,2.6,1.2,11,2.2,12,4,2.4,0.8,0,0,0,0,-1.2000000000000002,0.19999999999999996,1.0,-0.4500000000000002
2020-12-13,Bologna,Roma,1,5,A,9,1.8,7,7,1.4,1.4,9,1.8,11,8,2.2,1.6,10,2.0,8,5,1.6,1.0,8,1.6,7,8,1.4,1.6,0,0,0,0,-0.19999999999999996,0.3999999999999999,0.20000000000000018,0.19999999999999996
2020-12-13,Milan,Parma,2,2,D,13,2.6,11,5,2.2,1.0,11,2.2,12,5,2.4,1.0,6,1.2,4,6,0.8,1.2,4,0.8,7,13,1.4,2.6,0,0,0,0,1.4000000000000001,1.0000000000000002,-0.19999999999999996,1.4000000000000001
2020-12-15,Benevento,Lazio,1,1,D,5,1.0,2,5,0.4,1.0,4,0.8,5,11,1.0,2.2,7,1.4,7,7,1.4,1.4,12,2.4,10,7,2.0,1.4,0,0,0,0,-0.3999999999999999,-0.9999999999999999,0.3999999999999999,-1.5999999999999999
2020-12-15,Udinese,Crotone,0,0,D,10,2.0,8,5,1.6,1.0,6,1.2,5,7,1.0,1.4,4,0.8,4,8,0.8,1.6,1,0.2,4,13,0.8,2.6,0,0,0,0,1.2,0.0,-0.19999999999999996,1.0
2020-12-16,Juventus,Atalanta,1,1,D,11,2.2,9,4,1.8,0.8,10,2.5,8,2,2.0,0.5,8,1.6,6,4,1.2,0.8,10,2.0,11,8,2.2,1.6,0,0,0,0,0.6000000000000001,1.0,0.3999999999999999,0.5
2020-12-16,Fiorentina,Sassuolo,1,1,D,2,0.4,1,7,0.2,1.4,7,1.4,6,6,1.2,1.2,8,1.6,3,3,0.6,0.6,13,2.6,12,4,2.4,0.8,0,0,0,0,-1.2000000000000002,-0.39999999999999997,-0.7999999999999999,-1.2000000000000002
2020-12-16,Genoa,Milan,2,2,D,1,0.2,4,10,0.8,2.0,3,0.5,8,13,1.3333333333333333,2.1666666666666665,11,2.2,11,6,2.2,1.2,15,3.0,11,4,2.2,0.8,0,0,0,0,-2.0,-0.3999999999999999,0.20000000000000018,-2.5
2020-12-16,Inter,Napoli,1,0,H,13,2.6,14,5,2.8,1.0,10,2.0,14,10,2.8,2.0,12,2.4,12,4,2.4,0.8,12,3.0,9,1,2.25,0.25,0,0,0,0,0.20000000000000018,1.9999999999999998,1.4,-1.0
2020-12-16,Parma,Cagliari,0,0,D,6,1.2,4,6,0.8,1.2,6,1.2,3,4,0.6,0.8,5,1.0,6,8,1.2,1.6,5,0.8333333333333334,9,14,1.5,2.3333333333333335,0,0,0,0,0.19999999999999996,-0.8,0.0,0.3666666666666666
