Data,Giornata,Casa,Ospite,Mercato,Predizione,Probabilita_Sistema,Quota,EV_%,Risultato_Reale,Corretto,Profit,Note
2026-03-15,28,Inter,Napoli,1X2,Casa,0.58,1.75,1.5,H,True,0.75,
2026-03-15,28,Inter,Napoli,OU25,Over,0.62,1.85,14.7,Over,True,0.8500000000000001,
2026-03-15,28,Inter,Napoli,GGNG,GG,0.55,1.9,4.5,GG,True,0.8999999999999999,
2026-03-16,28,Milan,Roma,1X2,Casa,0.52,1.95,1.4,H,True,0.95,Test dashboard
2026-03-16,28,Milan,Roma,OU25,Over,0.58,1.9,10.2,Over,True,0.90,Test dashboard
2026-03-16,28,Milan,Roma,GGNG,GG,0.53,1.85,-1.9,GG,True,0.85,Test dashboard
2026-03-16,28,Juventus,Atalanta,1X2,Pareggio,0.31,3.2,-0.8,D,True,2.20,Test dashboard
2026-03-16,28,Juventus,Atalanta,OU25,Over,0.65,1.8,17.0,Over,True,0.80,Test dashboard
2026-03-16,28,Juventus,Atalanta,GGNG,GG,0.58,1.75,1.5,NG,False,-1.00,Test dashboard - errata
2026-03-17,28,Napoli,Lazio,1X2,Casa,0.60,1.75,5.0,H,True,0.75,Test dashboard
2026-03-17,28,Napoli,Lazio,OU25,Under,0.55,2.10,15.5,Under,True,1.10,Test dashboard
2026-03-17,28,Fiorentina,Bologna,1X2,Pareggio,0.28,3.30,-7.6,A,False,-1.00,Test dashboard - errata
