Data,Giornata,Casa,Ospite,Quota_X,EV_%,Confidenza,Predizione,Risultato,Stake,Profit_Loss,Bankroll,ROI_%,Note
2026-01-07,,Bologna,Atalanta,3.25,37.5,0.42,X,A,48.38,-48.38,451.62,-100.0,LOSS - 0-2
2026-01-07,,Lazio,Fiorentina,3.0,26.7,0.42,X,D,48.38,96.76,548.38,50.0,WIN - 2-2
2026-01-07,,Torino,Udinese,3.01,27.3,0.42,X,A,48.38,-48.38,500.0,0.0,LOSS - 1-2
2026-01-08,,Cremonese,Cagliari,3.07,30.0,0.42,X,D,48.38,100.15,600.15,51.75,WIN - 2-2
2026-01-11,,Lecce,Parma,2.96,25.1,0.42,X,PENDING,48.38,0.0,500.0,0.0,Auto-identificato
2026-01-10,,Como,Bologna,3.36,42.1,0.42,X,PENDING,48.38,0.0,500.0,0.0,Auto-identificato
2026-01-10,,Udinese,Pisa,3.36,42.0,0.42,X,PENDING,48.38,0.0,500.0,0.0,Auto-identificato
2026-01-11,,Fiorentina,Milan,3.44,45.5,0.42,X,PENDING,48.38,0.0,500.0,0.0,Auto-identificato
2026-01-11,,Verona,Lazio,3.01,27.3,0.42,X,PENDING,48.38,0.0,500.0,0.0,Auto-identificato
2026-01-12,,Genoa,Cagliari,2.98,26.2,0.42,X,PENDING,48.38,0.0,500.0,0.0,Auto-identificato
2026-01-15,,Verona,Bologna,3.22,36.1,0.42,X,PENDING,48.38,0.0,500.0,0.0,Auto-identificato
2026-01-15,,Como,Milan,3.17,34.1,0.42,X,PENDING,48.38,0.0,500.0,0.0,Auto-identificato
