data,casa,trasferta,risultato_reale,predizione,prob_h,prob_d,prob_a,confidenza,corretto,confidenza_bin
2025-08-23,Milan,Cremonese,A,H,0.443,0.376,0.182,0.443,False,Media (40-50%)
2025-08-23,Sassuolo,Napoli,A,A,0.3,0.32,0.38,0.38,True,Bassa (<40%)
2025-08-23,Genoa,Lecce,D,D,0.324,0.395,0.281,0.395,True,Bassa (<40%)
2025-08-23,Roma,Bologna,H,H,0.483,0.33,0.186,0.483,True,Media (40-50%)
2025-08-24,Juventus,Parma,H,H,0.464,0.389,0.146,0.464,True,Media (40-50%)
2025-08-24,Cagliari,Fiorentina,D,A,0.328,0.327,0.345,0.345,False,Bassa (<40%)
2025-08-24,Como,Lazio,H,H,0.354,0.325,0.321,0.354,True,Bassa (<40%)
2025-08-25,Inter,Torino,H,H,0.573,0.28,0.147,0.573,True,Alta (50-60%)
2025-08-25,Udinese,Verona,D,D,0.346,0.383,0.271,0.383,True,Bassa (<40%)
2025-08-29,Lecce,Milan,A,A,0.245,0.341,0.414,0.414,True,Media (40-50%)
2025-08-29,Cremonese,Sassuolo,H,A,0.311,0.332,0.357,0.357,False,Bassa (<40%)
2025-08-30,Parma,Atalanta,D,A,0.229,0.333,0.437,0.437,False,Media (40-50%)
2025-08-30,Bologna,Como,H,D,0.373,0.392,0.235,0.392,False,Bassa (<40%)
2025-08-30,Napoli,Cagliari,H,H,0.512,0.327,0.16,0.512,True,Alta (50-60%)
2025-08-31,Torino,Fiorentina,D,D,0.345,0.376,0.278,0.376,True,Bassa (<40%)
2025-08-31,Genoa,Juventus,A,D,0.271,0.399,0.33,0.399,False,Bassa (<40%)
2025-08-31,Inter,Udinese,A,H,0.578,0.276,0.146,0.578,False,Alta (50-60%)
2025-08-31,Lazio,Verona,H,H,0.483,0.339,0.178,0.483,True,Media (40-50%)
2025-09-13,Cagliari,Parma,H,D,0.344,0.399,0.257,0.399,False,Bassa (<40%)
2025-09-13,Fiorentina,Napoli,A,H,0.385,0.304,0.311,0.385,False,Bassa (<40%)
2025-09-13,Juventus,Inter,H,H,0.417,0.313,0.27,0.417,True,Media (40-50%)
2025-09-14,Atalanta,Lecce,H,H,0.446,0.33,0.224,0.446,True,Media (40-50%)
2025-09-14,Roma,Torino,A,H,0.495,0.319,0.186,0.495,False,Media (40-50%)
2025-09-14,Sassuolo,Lazio,H,A,0.342,0.297,0.361,0.361,False,Bassa (<40%)
2025-09-14,Milan,Bologna,H,H,0.455,0.356,0.189,0.455,True,Media (40-50%)
2025-09-15,Verona,Cremonese,D,D,0.342,0.377,0.281,0.377,True,Bassa (<40%)
2025-09-15,Como,Genoa,D,D,0.38,0.382,0.238,0.382,True,Bassa (<40%)
2025-09-19,Lecce,Cagliari,A,D,0.333,0.373,0.293,0.373,False,Bassa (<40%)
2025-09-20,Verona,Juventus,D,A,0.315,0.339,0.346,0.346,False,Bassa (<40%)
2025-09-20,Bologna,Genoa,H,H,0.411,0.379,0.21,0.411,True,Media (40-50%)
2025-09-20,Udinese,Milan,A,A,0.269,0.356,0.375,0.375,True,Bassa (<40%)
2025-09-21,Cremonese,Parma,D,D,0.332,0.411,0.256,0.411,True,Media (40-50%)
2025-09-21,Inter,Sassuolo,H,H,0.612,0.232,0.156,0.612,True,Molto Alta (>60%)
2025-09-21,Fiorentina,Como,A,H,0.407,0.358,0.235,0.407,False,Media (40-50%)
2025-09-21,Lazio,Roma,A,H,0.451,0.323,0.227,0.451,False,Media (40-50%)
2025-09-21,Torino,Atalanta,A,D,0.294,0.374,0.332,0.374,False,Bassa (<40%)
2025-09-27,Juventus,Atalanta,D,H,0.429,0.321,0.25,0.429,False,Media (40-50%)
2025-09-27,Como,Cremonese,D,D,0.38,0.4,0.219,0.4,True,Bassa (<40%)
2025-09-27,Cagliari,Inter,A,A,0.259,0.316,0.425,0.425,True,Media (40-50%)
2025-09-28,Milan,Napoli,H,H,0.411,0.307,0.281,0.411,True,Media (40-50%)
2025-09-28,Lecce,Bologna,D,D,0.295,0.39,0.315,0.39,True,Bassa (<40%)
2025-09-28,Roma,Verona,H,H,0.521,0.307,0.172,0.521,True,Alta (50-60%)
2025-09-28,Sassuolo,Udinese,H,H,0.364,0.356,0.281,0.364,True,Bassa (<40%)
2025-09-29,Parma,Torino,H,D,0.284,0.366,0.35,0.366,False,Bassa (<40%)
2025-09-29,Genoa,Lazio,A,D,0.294,0.355,0.351,0.355,False,Bassa (<40%)
2025-10-03,Verona,Sassuolo,A,H,0.367,0.303,0.33,0.367,False,Bassa (<40%)
2025-10-04,Parma,Lecce,A,D,0.305,0.35,0.345,0.35,False,Bassa (<40%)
2025-10-04,Lazio,Torino,D,H,0.457,0.351,0.192,0.457,False,Media (40-50%)
2025-10-04,Inter,Cremonese,H,H,0.545,0.309,0.145,0.545,True,Alta (50-60%)
2025-10-04,Atalanta,Como,D,H,0.406,0.357,0.237,0.406,False,Media (40-50%)
2025-10-05,Juventus,Milan,D,H,0.428,0.311,0.261,0.428,False,Media (40-50%)
2025-10-05,Udinese,Cagliari,D,D,0.346,0.388,0.266,0.388,True,Bassa (<40%)
2025-10-05,Fiorentina,Roma,A,H,0.432,0.315,0.253,0.432,False,Media (40-50%)
2025-10-05,Napoli,Genoa,H,H,0.492,0.335,0.173,0.492,True,Media (40-50%)
2025-10-18,Roma,Inter,A,H,0.433,0.274,0.293,0.433,False,Media (40-50%)
2025-10-18,Torino,Napoli,H,D,0.289,0.37,0.341,0.37,False,Bassa (<40%)
2025-10-18,Lecce,Sassuolo,D,A,0.315,0.338,0.347,0.347,False,Bassa (<40%)
2025-10-19,Genoa,Parma,D,D,0.328,0.443,0.229,0.443,True,Media (40-50%)
2025-10-19,Cagliari,Bologna,A,D,0.319,0.366,0.315,0.366,False,Bassa (<40%)
2025-10-19,Como,Juventus,H,D,0.323,0.375,0.302,0.375,False,Bassa (<40%)
2025-10-19,Atalanta,Lazio,D,H,0.429,0.279,0.292,0.429,False,Media (40-50%)
2025-10-19,Milan,Fiorentina,H,H,0.47,0.316,0.214,0.47,True,Media (40-50%)
2025-10-20,Cremonese,Udinese,D,D,0.303,0.374,0.324,0.374,True,Bassa (<40%)
2025-10-25,Udinese,Lecce,H,D,0.328,0.383,0.289,0.383,False,Bassa (<40%)
2025-10-25,Cremonese,Atalanta,D,A,0.245,0.344,0.411,0.411,False,Media (40-50%)
2025-10-25,Napoli,Inter,H,H,0.424,0.29,0.285,0.424,True,Media (40-50%)
2025-10-25,Parma,Como,D,D,0.279,0.373,0.348,0.373,True,Bassa (<40%)
2025-10-26,Torino,Genoa,H,D,0.349,0.404,0.248,0.404,False,Media (40-50%)
2025-10-26,Sassuolo,Roma,A,H,0.347,0.331,0.322,0.347,False,Bassa (<40%)
2025-10-26,Verona,Cagliari,D,H,0.384,0.342,0.274,0.384,False,Bassa (<40%)
2025-10-26,Fiorentina,Bologna,D,H,0.43,0.353,0.216,0.43,False,Media (40-50%)
2025-10-26,Lazio,Juventus,H,H,0.413,0.342,0.245,0.413,True,Media (40-50%)
2025-10-28,Lecce,Napoli,A,A,0.244,0.345,0.411,0.411,True,Media (40-50%)
2025-10-28,Atalanta,Milan,D,H,0.386,0.298,0.316,0.386,False,Bassa (<40%)
2025-10-29,Roma,Parma,H,H,0.489,0.363,0.148,0.489,True,Media (40-50%)
2025-10-29,Como,Verona,H,H,0.389,0.372,0.238,0.389,True,Bassa (<40%)
2025-10-29,Juventus,Udinese,H,H,0.483,0.351,0.166,0.483,True,Media (40-50%)
2025-10-29,Bologna,Torino,D,H,0.406,0.378,0.217,0.406,False,Media (40-50%)
2025-10-29,Genoa,Cremonese,A,D,0.303,0.43,0.267,0.43,False,Media (40-50%)
2025-10-29,Inter,Fiorentina,H,H,0.599,0.25,0.151,0.599,True,Alta (50-60%)
2025-10-30,Cagliari,Sassuolo,A,A,0.341,0.31,0.349,0.349,True,Bassa (<40%)
2025-11-01,Udinese,Atalanta,H,D,0.273,0.364,0.363,0.364,False,Bassa (<40%)
2025-11-01,Napoli,Como,D,H,0.454,0.348,0.198,0.454,False,Media (40-50%)
2025-11-01,Cremonese,Juventus,A,A,0.253,0.368,0.379,0.379,True,Bassa (<40%)
2025-11-02,Milan,Roma,H,H,0.457,0.318,0.224,0.457,True,Media (40-50%)
2025-11-02,Verona,Inter,A,A,0.293,0.306,0.401,0.401,True,Media (40-50%)
2025-11-02,Fiorentina,Lecce,A,H,0.447,0.331,0.221,0.447,False,Media (40-50%)
2025-11-02,Parma,Bologna,A,D,0.276,0.376,0.348,0.376,False,Bassa (<40%)
2025-11-03,Lazio,Cagliari,H,H,0.482,0.345,0.173,0.482,True,Media (40-50%)
2025-11-03,Sassuolo,Genoa,A,H,0.373,0.357,0.27,0.373,False,Bassa (<40%)
2025-11-07,Pisa,Cremonese,H,D,0.252,0.459,0.289,0.459,False,Media (40-50%)
2025-11-08,Parma,Milan,D,A,0.224,0.324,0.452,0.452,False,Media (40-50%)
2025-11-08,Juventus,Torino,D,H,0.476,0.354,0.17,0.476,False,Media (40-50%)
2025-11-08,Como,Cagliari,D,H,0.398,0.375,0.227,0.398,False,Bassa (<40%)
2025-11-08,Lecce,Verona,D,D,0.324,0.37,0.305,0.37,True,Bassa (<40%)
2025-11-09,Genoa,Fiorentina,D,D,0.313,0.381,0.306,0.381,True,Bassa (<40%)
2025-11-09,Bologna,Napoli,H,H,0.352,0.343,0.306,0.352,True,Bassa (<40%)
2025-11-09,Atalanta,Sassuolo,A,H,0.451,0.297,0.252,0.451,False,Media (40-50%)
2025-11-09,Roma,Udinese,H,H,0.501,0.316,0.183,0.501,True,Alta (50-60%)
2025-11-09,Inter,Lazio,H,H,0.592,0.21,0.198,0.592,True,Alta (50-60%)
