data,casa,trasferta,risultato_reale,predizione,prob_h,prob_d,prob_a,confidenza,corretto
2024-05-23,Cagliari,Fiorentina,A,D,0.393,0.441,0.166,0.441,False
2024-05-24,Genoa,Bologna,H,D,0.362,0.373,0.265,0.373,False
2024-05-25,Milan,Salernitana,D,H,0.552,0.305,0.143,0.552,False
2024-05-25,Juventus,Monza,H,H,0.48,0.37,0.15,0.48,True
2024-05-26,Napoli,Lecce,D,H,0.529,0.323,0.148,0.529,False
2024-05-26,Atalanta,Torino,H,H,0.521,0.328,0.151,0.521,True
2024-05-26,Empoli,Roma,H,D,0.332,0.339,0.329,0.339,False
2024-05-26,Frosinone,Udinese,A,D,0.345,0.354,0.301,0.354,False
2024-05-26,Lazio,Sassuolo,D,H,0.613,0.244,0.142,0.613,False
2024-05-26,Verona,Inter,D,A,0.277,0.276,0.447,0.447,False
2024-06-02,Atalanta,Fiorentina,A,H,0.526,0.331,0.143,0.526,False
2024-08-17,Milan,Torino,D,H,0.552,0.302,0.147,0.552,False
2024-08-17,Genoa,Inter,D,A,0.263,0.273,0.464,0.464,False
2024-08-17,Parma,Fiorentina,D,H,0.404,0.397,0.199,0.404,False
2024-08-17,Empoli,Monza,D,D,0.371,0.383,0.246,0.383,True
2024-08-18,Lazio,Venezia,H,H,0.598,0.258,0.144,0.598,True
2024-08-18,Cagliari,Roma,D,D,0.295,0.38,0.325,0.38,True
2024-08-18,Verona,Napoli,H,A,0.322,0.323,0.355,0.355,False
2024-08-18,Bologna,Udinese,D,H,0.444,0.367,0.189,0.444,False
2024-08-19,Lecce,Atalanta,A,A,0.275,0.354,0.372,0.372,True
2024-08-19,Juventus,Como,H,H,0.463,0.368,0.169,0.463,True
2024-08-24,Monza,Genoa,A,H,0.432,0.407,0.16,0.432,False
2024-08-24,Inter,Lecce,H,H,0.555,0.3,0.145,0.555,True
2024-08-24,Udinese,Lazio,H,D,0.304,0.4,0.297,0.4,False
2024-08-24,Parma,Milan,H,A,0.275,0.328,0.397,0.397,False
2024-08-25,Roma,Empoli,A,H,0.585,0.272,0.144,0.585,False
2024-08-25,Napoli,Bologna,H,H,0.496,0.338,0.166,0.496,True
2024-08-25,Fiorentina,Venezia,D,H,0.435,0.396,0.169,0.435,False
2024-08-25,Torino,Atalanta,H,D,0.333,0.356,0.311,0.356,False
2024-08-26,Cagliari,Como,D,D,0.295,0.427,0.277,0.427,True
2024-08-26,Verona,Juventus,A,H,0.372,0.37,0.258,0.372,False
2024-08-30,Inter,Atalanta,H,H,0.481,0.309,0.21,0.481,True
2024-08-30,Venezia,Torino,A,D,0.294,0.399,0.307,0.399,False
2024-08-31,Bologna,Empoli,D,H,0.459,0.382,0.159,0.459,False
2024-08-31,Lecce,Cagliari,H,D,0.383,0.387,0.23,0.387,False
2024-08-31,Napoli,Parma,H,H,0.546,0.308,0.146,0.546,True
2024-08-31,Lazio,Milan,D,H,0.49,0.279,0.231,0.49,False
2024-09-01,Fiorentina,Monza,D,D,0.363,0.413,0.225,0.413,True
2024-09-01,Genoa,Verona,A,H,0.452,0.393,0.154,0.452,False
2024-09-01,Udinese,Como,H,D,0.261,0.437,0.302,0.437,False
2024-09-01,Juventus,Roma,D,H,0.465,0.341,0.194,0.465,False
2024-09-14,Como,Bologna,D,H,0.428,0.381,0.191,0.428,False
2024-09-14,Empoli,Juventus,D,D,0.361,0.372,0.267,0.372,True
2024-09-14,Milan,Venezia,H,H,0.562,0.293,0.145,0.562,True
2024-09-15,Monza,Inter,D,A,0.249,0.274,0.477,0.477,False
2024-09-15,Cagliari,Napoli,A,D,0.277,0.365,0.359,0.365,False
2024-09-15,Torino,Lecce,D,H,0.412,0.391,0.197,0.412,False
2024-09-15,Atalanta,Fiorentina,H,H,0.526,0.331,0.143,0.526,True
2024-09-15,Genoa,Roma,D,D,0.326,0.337,0.337,0.337,True
2024-09-16,Parma,Udinese,A,H,0.364,0.35,0.286,0.364,False
2024-09-16,Lazio,Verona,H,H,0.594,0.267,0.139,0.594,True
2024-09-20,Cagliari,Empoli,A,D,0.379,0.418,0.204,0.418,False
2024-09-20,Verona,Torino,A,H,0.421,0.359,0.22,0.421,False
2024-09-21,Venezia,Genoa,H,D,0.33,0.461,0.21,0.461,False
2024-09-21,Juventus,Napoli,D,H,0.442,0.334,0.223,0.442,False
2024-09-21,Lecce,Parma,D,H,0.401,0.387,0.212,0.401,False
2024-09-22,Monza,Bologna,A,D,0.353,0.37,0.277,0.37,False
2024-09-22,Inter,Milan,A,H,0.47,0.307,0.223,0.47,False
2024-09-22,Roma,Udinese,H,H,0.582,0.271,0.147,0.582,True
2024-09-22,Fiorentina,Lazio,H,H,0.386,0.375,0.238,0.386,True
2024-09-24,Atalanta,Como,A,H,0.439,0.355,0.207,0.439,False
2024-09-27,Milan,Lecce,H,H,0.545,0.308,0.147,0.545,True
2024-09-28,Udinese,Inter,A,A,0.222,0.313,0.465,0.465,True
2024-09-28,Genoa,Juventus,A,D,0.354,0.372,0.274,0.372,False
2024-09-28,Bologna,Atalanta,D,D,0.362,0.363,0.275,0.363,True
2024-09-29,Empoli,Fiorentina,D,H,0.443,0.389,0.168,0.443,False
2024-09-29,Napoli,Monza,H,H,0.477,0.35,0.173,0.477,True
2024-09-29,Roma,Venezia,H,H,0.59,0.266,0.144,0.59,True
2024-09-29,Como,Verona,H,H,0.497,0.359,0.144,0.497,True
2024-09-29,Torino,Lazio,A,H,0.381,0.367,0.253,0.381,False
2024-09-30,Parma,Cagliari,A,H,0.397,0.366,0.237,0.397,False
2024-10-04,Napoli,Como,H,H,0.46,0.347,0.193,0.46,True
2024-10-04,Verona,Venezia,H,H,0.447,0.365,0.187,0.447,True
2024-10-05,Udinese,Lecce,H,D,0.327,0.436,0.237,0.436,False
2024-10-05,Atalanta,Genoa,H,H,0.513,0.345,0.141,0.513,True
2024-10-05,Inter,Torino,H,H,0.561,0.294,0.145,0.561,True
2024-10-06,Fiorentina,Milan,H,D,0.329,0.361,0.31,0.361,False
2024-10-06,Lazio,Empoli,H,H,0.592,0.263,0.145,0.592,True
2024-10-06,Monza,Roma,D,A,0.316,0.336,0.348,0.348,False
2024-10-06,Bologna,Parma,D,H,0.466,0.381,0.153,0.466,False
2024-10-06,Juventus,Cagliari,D,H,0.535,0.322,0.143,0.535,False
2024-10-19,Como,Parma,D,H,0.507,0.346,0.147,0.507,False
2024-10-19,Genoa,Bologna,D,D,0.362,0.373,0.265,0.373,True
2024-10-19,Juventus,Lazio,H,H,0.504,0.341,0.155,0.504,True
2024-10-19,Milan,Udinese,H,H,0.554,0.297,0.149,0.554,True
2024-10-20,Cagliari,Torino,H,D,0.363,0.41,0.227,0.41,False
2024-10-20,Venezia,Atalanta,A,A,0.217,0.359,0.424,0.424,True
2024-10-20,Roma,Inter,A,H,0.439,0.248,0.313,0.439,False
2024-10-20,Empoli,Napoli,A,A,0.311,0.325,0.364,0.364,True
2024-10-20,Lecce,Fiorentina,A,D,0.39,0.417,0.193,0.417,False
2024-10-21,Verona,Monza,A,D,0.369,0.385,0.247,0.385,False
2024-10-25,Torino,Como,H,D,0.34,0.4,0.26,0.4,False
2024-10-25,Udinese,Cagliari,H,D,0.349,0.427,0.223,0.427,False
2024-10-26,Napoli,Lecce,H,H,0.529,0.323,0.148,0.529,True
2024-10-26,Atalanta,Verona,H,H,0.531,0.327,0.142,0.531,True
2024-10-27,Fiorentina,Roma,H,D,0.35,0.366,0.285,0.366,False
2024-10-27,Parma,Empoli,D,H,0.404,0.366,0.23,0.404,False
2024-10-27,Lazio,Genoa,H,H,0.574,0.288,0.139,0.574,True
2024-10-27,Monza,Venezia,D,H,0.455,0.354,0.191,0.455,False
2024-10-27,Inter,Juventus,D,H,0.525,0.326,0.15,0.525,False
2024-10-29,Cagliari,Bologna,A,D,0.327,0.416,0.257,0.416,False
2024-10-29,Lecce,Verona,H,D,0.407,0.417,0.176,0.417,False
2024-10-29,Milan,Napoli,A,H,0.458,0.3,0.242,0.458,False
2024-10-30,Empoli,Inter,A,A,0.266,0.278,0.456,0.456,True
2024-10-30,Venezia,Udinese,H,D,0.288,0.383,0.329,0.383,False
2024-10-30,Atalanta,Monza,H,H,0.456,0.358,0.186,0.456,True
2024-10-30,Juventus,Parma,D,H,0.535,0.322,0.143,0.535,False
2024-10-31,Genoa,Fiorentina,A,H,0.435,0.394,0.171,0.435,False
2024-10-31,Como,Lazio,A,H,0.432,0.363,0.206,0.432,False
2024-10-31,Roma,Torino,H,H,0.579,0.276,0.145,0.579,True
2024-11-02,Udinese,Juventus,A,D,0.298,0.419,0.283,0.419,False
2024-11-02,Bologna,Lecce,H,H,0.443,0.388,0.169,0.443,True
2024-11-02,Monza,Milan,A,A,0.293,0.331,0.375,0.375,True
2024-11-03,Verona,Roma,H,H,0.343,0.337,0.32,0.343,True
2024-11-03,Inter,Venezia,H,H,0.571,0.285,0.144,0.571,True
2024-11-03,Napoli,Atalanta,A,H,0.444,0.319,0.236,0.444,False
2024-11-03,Torino,Fiorentina,A,H,0.448,0.403,0.149,0.448,False
2024-11-04,Empoli,Como,H,D,0.353,0.378,0.27,0.378,False
2024-11-04,Parma,Genoa,A,D,0.408,0.419,0.172,0.419,False
2024-11-04,Lazio,Cagliari,H,H,0.595,0.261,0.144,0.595,True
2024-11-07,Genoa,Como,D,D,0.331,0.383,0.286,0.383,True
2024-11-08,Lecce,Empoli,D,H,0.39,0.387,0.223,0.39,False
2024-11-09,Cagliari,Milan,D,D,0.276,0.373,0.351,0.373,True
2024-11-09,Venezia,Parma,A,D,0.336,0.405,0.259,0.405,False
